point_id,gas,temperature_K,pressure_MPa,pressure_basis,salt,salt_molality,salt_composition,m_Na,m_Cl,m_K,m_Ca,m_Mg,m_SO4,source_id,reference,method,flags,gas2,gas2_mole_fraction_feed,solubility_mole_fraction,solubility_mol_per_kgw,value_as_printed,unit_as_printed
C2H6_amirijafari1972_c2c4_019,C2H6,377.5944,34.57720636,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,amirijafari1972_c2c4,Amirijafari & Campbell 1972,analytical_sampling,,,,,,3.162,X1: mole fraction of hydrocarbon in water x 10^3
C2H6_amirijafari1972_c2c4_020,C2H6,377.5944,34.57720636,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,amirijafari1972_c2c4,Amirijafari & Campbell 1972,analytical_sampling,,,,0.000672,0.03732671,0.672,X2: mole fraction of hydrocarbon in water x 10^3
C2H6_amirijafari1972_c2c4_021,C2H6,344.2611,34.473785,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,amirijafari1972_c2c4,Amirijafari & Campbell 1972,analytical_sampling,,,,,,2.780,X1: mole fraction of hydrocarbon in water x 10^3
C2H6_amirijafari1972_c2c4_022,C2H6,344.2611,34.473785,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,amirijafari1972_c2c4,Amirijafari & Campbell 1972,analytical_sampling,,,,0.000323,0.017934998,0.323,X2: mole fraction of hydrocarbon in water x 10^3
C2H6_amirijafari1972_c2c4_023,C2H6,360.9278,34.473785,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,amirijafari1972_c2c4,Amirijafari & Campbell 1972,analytical_sampling,,,,,,2.830,X1: mole fraction of hydrocarbon in water x 10^3
C2H6_amirijafari1972_c2c4_024,C2H6,360.9278,34.473785,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,amirijafari1972_c2c4,Amirijafari & Campbell 1972,analytical_sampling,,,,0.000329,0.018268265,0.329,X2: mole fraction of hydrocarbon in water x 10^3
C2H6_amirijafari1972_c2c4_025,C2H6,377.5944,34.473785,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,amirijafari1972_c2c4,Amirijafari & Campbell 1972,analytical_sampling,,,,,,3.158,X1: mole fraction of hydrocarbon in water x 10^3
C2H6_amirijafari1972_c2c4_026,C2H6,377.5944,34.473785,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,amirijafari1972_c2c4,Amirijafari & Campbell 1972,analytical_sampling,,,,0.000367,0.020379052,0.367,X2: mole fraction of hydrocarbon in water x 10^3
C2H6_amirijafari1972_c2c4_027,C2H6,377.5944,4.5850134,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,amirijafari1972_c2c4,Amirijafari & Campbell 1972,analytical_sampling,,,,,,1.175,X1: mole fraction of hydrocarbon in water x 10^3
C2H6_amirijafari1972_c2c4_028,C2H6,377.5944,4.5850134,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,amirijafari1972_c2c4,Amirijafari & Campbell 1972,analytical_sampling,,,,0.000137,0.0076056891,0.137,X2: mole fraction of hydrocarbon in water x 10^3
C2H6_amirijafari1972_c2c4_029,C2H6,377.5944,14.2376732,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,amirijafari1972_c2c4,Amirijafari & Campbell 1972,analytical_sampling,,,,,,2.234,X1: mole fraction of hydrocarbon in water x 10^3
C2H6_amirijafari1972_c2c4_030,C2H6,377.5944,14.2376732,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,amirijafari1972_c2c4,Amirijafari & Campbell 1972,analytical_sampling,,,,0.00026,0.01443593,0.260,X2: mole fraction of hydrocarbon in water x 10^3
C2H6_amirijafari1972_c2c4_031,C2H6,377.5944,20.78769235,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,amirijafari1972_c2c4,Amirijafari & Campbell 1972,analytical_sampling,,,,,,2.614,X1: mole fraction of hydrocarbon in water x 10^3
C2H6_amirijafari1972_c2c4_032,C2H6,377.5944,20.78769235,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,amirijafari1972_c2c4,Amirijafari & Campbell 1972,analytical_sampling,,,,0.000304,0.016879677,0.304,X2: mole fraction of hydrocarbon in water x 10^3
C2H6_amirijafari1972_c2c4_033,C2H6,377.5944,27.68244935,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,amirijafari1972_c2c4,Amirijafari & Campbell 1972,analytical_sampling,,,,,,2.882,X1: mole fraction of hydrocarbon in water x 10^3
C2H6_amirijafari1972_c2c4_034,C2H6,377.5944,27.68244935,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,amirijafari1972_c2c4,Amirijafari & Campbell 1972,analytical_sampling,,,,0.000328,0.01821272,0.328,X2: mole fraction of hydrocarbon in water x 10^3
C2H6_amirijafari1972_c2c4_035,C2H6,377.5944,4.5850134,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,amirijafari1972_c2c4,Amirijafari & Campbell 1972,analytical_sampling,,,,,,1.230,X1: mole fraction of hydrocarbon in water x 10^3
C2H6_amirijafari1972_c2c4_036,C2H6,377.5944,4.5850134,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,amirijafari1972_c2c4,Amirijafari & Campbell 1972,analytical_sampling,,,,0.000119,0.0066062826,0.119,X2: mole fraction of hydrocarbon in water x 10^3
C2H6_amirijafari1972_c2c4_037,C2H6,377.5944,14.2376732,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,amirijafari1972_c2c4,Amirijafari & Campbell 1972,analytical_sampling,,,,,,2.000,X1: mole fraction of hydrocarbon in water x 10^3
C2H6_amirijafari1972_c2c4_038,C2H6,377.5944,14.2376732,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,amirijafari1972_c2c4,Amirijafari & Campbell 1972,analytical_sampling,,,,0.000194,0.010770714,0.194,X2: mole fraction of hydrocarbon in water x 10^3
C2H6_amirijafari1972_c2c4_039,C2H6,377.5944,20.78769235,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,amirijafari1972_c2c4,Amirijafari & Campbell 1972,analytical_sampling,,,,,,2.668,X1: mole fraction of hydrocarbon in water x 10^3
C2H6_amirijafari1972_c2c4_040,C2H6,377.5944,20.78769235,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,amirijafari1972_c2c4,Amirijafari & Campbell 1972,analytical_sampling,,,,0.000258,0.014324856,0.258,X2: mole fraction of hydrocarbon in water x 10^3
C2H6_amirijafari1972_c2c4_041,C2H6,377.5944,27.68244935,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,amirijafari1972_c2c4,Amirijafari & Campbell 1972,analytical_sampling,,,,,,2.842,X1: mole fraction of hydrocarbon in water x 10^3
C2H6_amirijafari1972_c2c4_042,C2H6,377.5944,27.68244935,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,amirijafari1972_c2c4,Amirijafari & Campbell 1972,analytical_sampling,,,,0.000275,0.015269002,0.275,X2: mole fraction of hydrocarbon in water x 10^3
C2H6_amirijafari1972_c2c4_043,C2H6,377.5944,34.57720636,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,amirijafari1972_c2c4,Amirijafari & Campbell 1972,analytical_sampling,,,,,,3.276,X1: mole fraction of hydrocarbon in water x 10^3
C2H6_amirijafari1972_c2c4_044,C2H6,377.5944,34.57720636,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,amirijafari1972_c2c4,Amirijafari & Campbell 1972,analytical_sampling,,,,0.000317,0.017601734,0.317,X2: mole fraction of hydrocarbon in water x 10^3
C2H6_amirijafari1972_c2c4_045,C2H6,377.5944,4.5850134,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,amirijafari1972_c2c4,Amirijafari & Campbell 1972,analytical_sampling,,,,,,0.768,X1: mole fraction of hydrocarbon in water x 10^3
C2H6_amirijafari1972_c2c4_046,C2H6,377.5944,4.5850134,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,amirijafari1972_c2c4,Amirijafari & Campbell 1972,analytical_sampling,,,,0.000596,0.03310272,0.596,X2: mole fraction of hydrocarbon in water x 10^3
C2H6_amirijafari1972_c2c4_047,C2H6,377.5944,14.2376732,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,amirijafari1972_c2c4,Amirijafari & Campbell 1972,analytical_sampling,,,,,,1.305,X1: mole fraction of hydrocarbon in water x 10^3
C2H6_amirijafari1972_c2c4_048,C2H6,377.5944,14.2376732,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,amirijafari1972_c2c4,Amirijafari & Campbell 1972,analytical_sampling,,,,0.001002,0.055675177,1.002,X2: mole fraction of hydrocarbon in water x 10^3
C2H6_amirijafari1972_c2c4_049,C2H6,377.5944,20.78769235,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,amirijafari1972_c2c4,Amirijafari & Campbell 1972,analytical_sampling,,,,,,1.508,X1: mole fraction of hydrocarbon in water x 10^3
C2H6_amirijafari1972_c2c4_050,C2H6,377.5944,20.78769235,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,amirijafari1972_c2c4,Amirijafari & Campbell 1972,analytical_sampling,,,,0.00117,0.065020871,1.170,X2: mole fraction of hydrocarbon in water x 10^3
C2H6_amirijafari1972_c2c4_051,C2H6,377.5944,27.68244935,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,amirijafari1972_c2c4,Amirijafari & Campbell 1972,analytical_sampling,,,,,,1.635,X1: mole fraction of hydrocarbon in water x 10^3
